id,title,author,book_page_url,image_url
122,Young Man with a Horn,Dorothy Baker,https://www.nyrb.com/collections/classics/products/young-man-with-a-horn,https://cdn.shopify.com/s/files/1/0726/9203/products/productimage-picture-young-man-with-a-horn-274_f5c89a49-4685-4e1c-b14a-85db74b9e501_large.png?v=1528394283
123,You'll Enjoy It When You Get There,Elizabeth Taylor,https://www.nyrb.com/collections/classics/products/youll-enjoy-it-when-you-get-there,https://cdn.shopify.com/s/files/1/0726/9203/products/You_ll-Enjoy-It-When-You-Get-There_large.jpg?v=1528394283
124,Witch Grass,Raymond Queneau,https://www.nyrb.com/collections/classics/products/witch-grass,https://cdn.shopify.com/s/files/1/0726/9203/products/Witch-Grass_large.jpg?v=1528394284
125,Wish Her Safe At Home,Stephen Benatar,https://www.nyrb.com/collections/classics/products/wish-her-safe-at-home,https://cdn.shopify.com/s/files/1/0726/9203/products/Wish-Her-Safe-at-Home_large.jpg?v=1528394284
126,White Walls,Tatyana Tolstaya,https://www.nyrb.com/collections/classics/products/white-walls,https://cdn.shopify.com/s/files/1/0726/9203/products/White-Walls_large.jpg?v=1528394284
127,When The World Spoke French,Marc Fumaroli,https://www.nyrb.com/collections/classics/products/when-the-world-spoke-french,https://cdn.shopify.com/s/files/1/0726/9203/products/When-the-World-Spoke-French_large.jpg?v=1528394284
128,Wheat That Springeth Green,"J.F. Powers, Katherine A. Powers",https://www.nyrb.com/collections/classics/products/wheat-that-springeth-green,https://cdn.shopify.com/s/files/1/0726/9203/products/Wheat-That-Springeth-Green_large.jpg?v=1528394285
129,What's For Dinner?,James Schuyler,https://www.nyrb.com/collections/classics/products/whats-for-dinner,https://cdn.shopify.com/s/files/1/0726/9203/products/productimage-picture-whats-for-dinner-137_19cb9bff-2456-4352-8b90-9efb34e9833b_large.png?v=1528394285
130,We Think the World of You,J. R. Ackerley,https://www.nyrb.com/collections/classics/products/we-think-the-world-of-you-3,https://cdn.shopify.com/s/files/1/0726/9203/products/We-Think-the-World-of-You_large.jpg?v=1528394286
131,We Have Only This Life to Live,Jean-Paul Sartre,https://www.nyrb.com/collections/classics/products/we-have-only-this-life-to-live,https://cdn.shopify.com/s/files/1/0726/9203/products/We-Have-Only-This-Life-to-Live_large.jpg?v=1528394286
132,We Always Treat Women Too Well,Raymond Queneau,https://www.nyrb.com/collections/classics/products/we-always-treat-women-too-well,https://cdn.shopify.com/s/files/1/0726/9203/products/We-Always-Treat-Women-Too-Well_large.jpg?v=1528394286
133,Warlock,Oakley Hall,https://www.nyrb.com/collections/classics/products/warlock,https://cdn.shopify.com/s/files/1/0726/9203/products/warlock-cover_large.jpg?v=1528394286
134,War and the Iliad,"Rachel Bespaloff, Simone Weil",https://www.nyrb.com/collections/classics/products/war-and-the-iliad,https://cdn.shopify.com/s/files/1/0726/9203/products/War-and-the-Iliad_large.jpg?v=1528394287
135,Walter Benjamin,Gershom Scholem,https://www.nyrb.com/collections/classics/products/walter-benjamin,https://cdn.shopify.com/s/files/1/0726/9203/products/Walter-Benjamin-the-Story-of-a-Friendship_large.jpg?v=1528394287
136,Walkabout,James Vance Marshall,https://www.nyrb.com/collections/classics/products/walkabout,https://cdn.shopify.com/s/files/1/0726/9203/products/productimage-picture-walkabout-208_c68e83aa-fd73-4686-8380-55e6819b8d36_large.png?v=1528394287
137,W.H. Auden's Book of Light Verse,W.H. Auden,https://www.nyrb.com/collections/classics/products/wh-audens-book-of-light-verse,https://cdn.shopify.com/s/files/1/0726/9203/products/WH-Auden-Book-of-Light-Verse_large.jpg?v=1430168271
